meal_name,emoji,quick,common_ingredients,variants_json,sides_json,category,image_url,nutrition_json
Risotto,🍚,,risotto rice;cream cheese,"[{""name"":""mushroom"",""ingredients"":[""mushroom"",""stock"",""peas""]},{""name"":""chicken"",""ingredients"":[""chicken"",""chicken stock"",""peas""]}]","[{""name"":""garlic bread"",""ingredients"":[""garlic bread""]}]",Italian,,"{""kcal"":600,""protein"":20,""carbs"":75,""sugar"":5,""fat"":24,""satFat"":13,""fibre"":4,""salt"":1.6,""basis"":""estimated""}"
Orzo,🥘,,orzo pasta;tinned tomatoes;cream cheese;stock;peas,"[{""name"":""chorizo"",""ingredients"":[""chorizo""]},{""name"":""mushroom"",""ingredients"":[""mushroom""]}]","[{""name"":""garlic bread"",""ingredients"":[""garlic bread""]}]",Italian,https://images.unsplash.com/photo-1599749011811-d9044d5cf850?fm=jpg&q=70&w=600&auto=format&fit=crop,"{""kcal"":540,""protein"":18,""carbs"":78,""sugar"":9,""fat"":18,""satFat"":8,""fibre"":6,""salt"":1.5,""basis"":""estimated""}"
Tomato pasta,🍝,,pasta;tinned tomatoes;cream cheese;mushrooms;peas;peppers;cheese,[],"[{""name"":""garlic bread"",""ingredients"":[""garlic bread""]},{""name"":""salad"",""ingredients"":[""salad"",""cucumber"",""peppers""]}]",Italian,https://images.unsplash.com/photo-1608897013039-887f21d8c804?fm=jpg&q=70&w=600&auto=format&fit=crop,"{""kcal"":560,""protein"":18,""carbs"":85,""sugar"":12,""fat"":17,""satFat"":8,""fibre"":7,""salt"":1.3,""basis"":""estimated""}"
Lasagna,🍝,,pasta sheets;tinned tomatoes;milk;flour;butter;cheese;mozzarella;tomato paste;garlic;onion;carrot;celery,"[{""name"":""meat"",""ingredients"":[""beef mince""]},{""name"":""veg (burnt aubergine)"",""ingredients"":[""aubergine"",""lentils""]},{""name"":""veg (lentils)"",""ingredients"":[""lentils""]}]",[],Italian,https://images.unsplash.com/photo-1709429790175-b02bb1b19207?fm=jpg&q=70&w=600&auto=format&fit=crop,"{""kcal"":680,""protein"":34,""carbs"":58,""sugar"":13,""fat"":33,""satFat"":16,""fibre"":6,""salt"":1.8,""basis"":""estimated""}"
Stir Fry,🥘,,noodles;peppers;spring onion;mushroom,"[{""name"":""pork"",""ingredients"":[""pork""]},{""name"":""veg"",""ingredients"":[]},{""name"":""chicken"",""ingredients"":[""chicken""]}]","[{""name"":""spring rolls"",""ingredients"":[""spring rolls""]}]",Asian,https://images.unsplash.com/photo-1512058564366-18510be2db19?fm=jpg&q=70&w=600&auto=format&fit=crop,"{""kcal"":520,""protein"":28,""carbs"":65,""sugar"":11,""fat"":16,""satFat"":3,""fibre"":6,""salt"":2.6,""basis"":""estimated""}"
Ready meal (e.g. COOK),🍱,,COOK ready meal,[],[],No-cook nights,https://images.unsplash.com/photo-1589010588553-46e8e7c21788?fm=jpg&q=70&w=600&auto=format&fit=crop,"{""kcal"":550,""protein"":27,""carbs"":50,""sugar"":9,""fat"":26,""satFat"":11,""fibre"":6,""salt"":2.2,""basis"":""estimated""}"
Fajitas,🌮,yes,tinned tomatoes;peppers;onions,"[{""name"":""chicken"",""ingredients"":[""chicken""]},{""name"":""fish"",""ingredients"":[""white fish""]},{""name"":""beef"",""ingredients"":[""beef""]},{""name"":""veg"",""ingredients"":[""mushrooms""]}]","[{""name"":""tortilla chips"",""ingredients"":[""tortilla wraps""]},{""name"":""loaded nachos"",""ingredients"":[""nachos"",""salsa"",""jalapeños"",""cheese"",""soured cream""]},{""name"":""sweetcorn"",""ingredients"":[""sweetcorn""]}]",Tex-Mex,,"{""kcal"":600,""protein"":36,""carbs"":60,""sugar"":11,""fat"":22,""satFat"":6,""fibre"":8,""salt"":2,""basis"":""estimated""}"
Roast Dinner,🍗,,potatoes;carrots;broccoli;parsnips;stuffing;gravy;onions;yorkshire puddings,"[{""name"":""chicken"",""ingredients"":[""chicken""]},{""name"":""beef"",""ingredients"":[""beef""]}]",[],British classics,https://images.unsplash.com/photo-1635897411141-7bd2b9c6ab16?fm=jpg&q=70&w=600&auto=format&fit=crop,"{""kcal"":750,""protein"":40,""carbs"":70,""sugar"":14,""fat"":32,""satFat"":11,""fibre"":10,""salt"":2.5,""basis"":""estimated""}"
Eating Out,🍽️,,n/a,[],[],No-cook nights,https://images.unsplash.com/photo-1592861956120-e524fc739696?fm=jpg&q=70&w=600&auto=format&fit=crop,"{""kcal"":900,""protein"":40,""carbs"":80,""sugar"":20,""fat"":48,""satFat"":18,""fibre"":6,""salt"":3.5,""basis"":""estimated""}"
Tikka Masala,🥘,,onion;tinned tomatoes;cream;garam masala,"[{""name"":""chicken"",""ingredients"":[""chicken""]},{""name"":""beef"",""ingredients"":[""beef""]},{""name"":""veg"",""ingredients"":[""chickpeas"",""peppers"",""mushroom"",""potatoes""]},{""name"":""fish"",""ingredients"":[""white fish""]}]","[{""name"":""rice"",""ingredients"":[""rice""]},{""name"":""popadums"",""ingredients"":[""popadums""]},{""name"":""naan/chapati"",""ingredients"":[""naan/chapati""]},{""name"":""bhajis/samosas"",""ingredients"":[""bhajis/samosas""]}]",Indian & curries,,"{""kcal"":680,""protein"":36,""carbs"":55,""sugar"":13,""fat"":34,""satFat"":16,""fibre"":5,""salt"":1.8,""basis"":""estimated""}"
Casserole,🍲,,onion;carrot;celery;potatoes,"[{""name"":""chicken"",""ingredients"":[""chicken""]},{""name"":""beef"",""ingredients"":[""beef""]},{""name"":""sausage"",""ingredients"":[""sausage""]}]","[{""name"":""rustic bread"",""ingredients"":[""rustic bread""]},{""name"":""roast potatoes"",""ingredients"":[""potatoes""]}]",British classics,https://images.unsplash.com/photo-1546453570-d2fcacdafbb2?fm=jpg&q=70&w=600&auto=format&fit=crop,"{""kcal"":560,""protein"":35,""carbs"":50,""sugar"":11,""fat"":22,""satFat"":8,""fibre"":8,""salt"":1.9,""basis"":""estimated""}"
Paella,🥘,,rice;onion;peppers;paprika;chorizo,"[{""name"":""prawn"",""ingredients"":[""prawn""]},{""name"":""chicken"",""ingredients"":[""chicken""]}]","[{""name"":""salad"",""ingredients"":[""salad""]},{""name"":""rustic bread"",""ingredients"":[""rustic bread""]}]",Spanish,https://images.unsplash.com/photo-1650964807311-970cb88d347c?fm=jpg&q=70&w=600&auto=format&fit=crop,"{""kcal"":600,""protein"":30,""carbs"":75,""sugar"":7,""fat"":20,""satFat"":5,""fibre"":5,""salt"":2.2,""basis"":""estimated""}"
Pad Thai,🍲,,pad thai noodles;peppers;spring onion;peanuts;pad thai sauce,"[{""name"":""chicken"",""ingredients"":[""chicken""]},{""name"":""prawn"",""ingredients"":[""prawn""]},{""name"":""veg"",""ingredients"":[""mushrooms""]}]","[{""name"":""spring rolls"",""ingredients"":[""spring rolls""]},{""name"":""gyoza"",""ingredients"":[""gyoza""]}]",Thai,https://images.unsplash.com/photo-1637806930600-37fa8892069d?fm=jpg&q=70&w=600&auto=format&fit=crop,"{""kcal"":650,""protein"":30,""carbs"":80,""sugar"":16,""fat"":23,""satFat"":5,""fibre"":5,""salt"":2.6,""basis"":""estimated""}"
Pasta Bake,🍝,,tinned tomatoes;onion;carrot;cheese;mascarpone,"[{""name"":""veg"",""ingredients"":[""veg""]},{""name"":""tuna"",""ingredients"":[""tinned tuna""]},{""name"":""chicken"",""ingredients"":[""chicken""]}]","[{""name"":""garlic bread"",""ingredients"":[""garlic bread""]},{""name"":""salad"",""ingredients"":[""salad"",""peppers""]}]",Italian,https://images.unsplash.com/photo-1586779245780-c86b30e10ed0?fm=jpg&q=70&w=600&auto=format&fit=crop,"{""kcal"":620,""protein"":30,""carbs"":70,""sugar"":12,""fat"":24,""satFat"":12,""fibre"":6,""salt"":1.7,""basis"":""estimated""}"
Scampi,🐟,,scampi,[],"[{""name"":""chips & mushy peas"",""ingredients"":[""chips"",""mushy peas""]},{""name"":""chips"",""ingredients"":[""chips""]},{""name"":""mushy peas"",""ingredients"":[""mushy peas""]},{""name"":""salad"",""ingredients"":[""salad""]}]",British classics,https://images.unsplash.com/photo-1658078367419-11c2cf639094?fm=jpg&q=70&w=600&auto=format&fit=crop,"{""kcal"":680,""protein"":24,""carbs"":75,""sugar"":4,""fat"":32,""satFat"":5,""fibre"":8,""salt"":2.2,""basis"":""estimated""}"
Chilli con carne,🌶️,,tinned tomatoes;onion;carrots;celery;paprika;chilli;cumin;tomato puree;kidney beans,"[{""name"":""beef"",""ingredients"":[""beef"",""beef stock""]},{""name"":""veg"",""ingredients"":[""lentils""]}]","[{""name"":""rice"",""ingredients"":[""rice""]},{""name"":""nachos"",""ingredients"":[""tortilla chips"",""cheese""]}]",Tex-Mex,,"{""kcal"":600,""protein"":33,""carbs"":70,""sugar"":11,""fat"":19,""satFat"":7,""fibre"":11,""salt"":1.6,""basis"":""estimated""}"
Macaroni cheese,🧀,,macaroni;cheese;butter;flour;garlic;paprika;onion;milk,"[{""name"":""chorizo"",""ingredients"":[""chorizo""]},{""name"":""mushroom"",""ingredients"":[""mushroom""]}]","[{""name"":""garlic bread"",""ingredients"":[""garlic bread""]},{""name"":""salad"",""ingredients"":[""salad"",""peppers""]}]",Italian,https://images.unsplash.com/photo-1543339494-b4cd4f7ba686?fm=jpg&q=70&w=600&auto=format&fit=crop,"{""kcal"":720,""protein"":28,""carbs"":70,""sugar"":9,""fat"":36,""satFat"":21,""fibre"":4,""salt"":1.9,""basis"":""estimated""}"
Thai Green Curry,🍲,,lemongrass;thai basil;ginger;garlic;spring onion;green chilli;fish sauce,"[{""name"":""chicken"",""ingredients"":[""chicken""]},{""name"":""prawn"",""ingredients"":[""prawn""]}]","[{""name"":""rice"",""ingredients"":[""rice""]},{""name"":""spring rolls"",""ingredients"":[""spring rolls""]}]",Thai,,"{""kcal"":620,""protein"":30,""carbs"":60,""sugar"":8,""fat"":30,""satFat"":18,""fibre"":4,""salt"":2,""basis"":""estimated""}"
Hot Dogs,🌭,,sausages;finger rolls;onions,[],"[{""name"":""chips"",""ingredients"":[""chips""]},{""name"":""sweet potato fries"",""ingredients"":[""sweet potato""]},{""name"":""sweetcorn"",""ingredients"":[""sweetcorn""]},{""name"":""mac & cheese"",""ingredients"":[""pasta"",""cheese"",""milk"",""flour"",""garlic""]},{""name"":""nachos"",""ingredients"":[""nachos""]}]",British classics,https://images.unsplash.com/photo-1638368593249-7cadb261e8b3?fm=jpg&q=70&w=600&auto=format&fit=crop,"{""kcal"":600,""protein"":20,""carbs"":55,""sugar"":10,""fat"":33,""satFat"":12,""fibre"":4,""salt"":2.8,""basis"":""estimated""}"
Spaghetti Carbonara,🍝,yes,spaghetti;bacon;mushroom;garlic,[],"[{""name"":""garlic bread"",""ingredients"":[""garlic bread""]}]",Italian,https://images.unsplash.com/photo-1588013273468-315fd88ea34c?fm=jpg&q=70&w=600&auto=format&fit=crop,"{""kcal"":680,""protein"":28,""carbs"":80,""sugar"":5,""fat"":27,""satFat"":11,""fibre"":4,""salt"":1.8,""basis"":""estimated""}"
Shakshuka,🍳,yes,tinned tomatoes;peppers;onion;eggs,"[{""name"":""classic"",""ingredients"":[]},{""name"":""with feta"",""ingredients"":[""feta""]}]","[{""name"":""flatbreads"",""ingredients"":[""flatbreads""]},{""name"":""crusty bread"",""ingredients"":[""bread""]}]",Eggs,,"{""kcal"":420,""protein"":22,""carbs"":28,""sugar"":14,""fat"":25,""satFat"":9,""fibre"":6,""salt"":1.8,""basis"":""estimated""}"
Lentil Dhal,🍛,,red lentils;tinned tomatoes;coconut milk;onion;garlic;ginger;garam masala;cumin,"[{""name"":""plain"",""ingredients"":[]},{""name"":""with spinach"",""ingredients"":[""spinach""]}]","[{""name"":""rice"",""ingredients"":[""rice""]},{""name"":""naan/chapati"",""ingredients"":[""naan/chapati""]},{""name"":""yoghurt flatbreads"",""ingredients"":[""self-raising flour"",""yoghurt""]}]",Indian & curries,,"{""kcal"":480,""protein"":18,""carbs"":60,""sugar"":9,""fat"":19,""satFat"":12,""fibre"":11,""salt"":1.2,""basis"":""estimated""}"
Fish Pie,🐟,,white fish;salmon;prawns;potatoes;milk;butter;flour;peas;cheese,"[{""name"":""classic (fish mix)"",""ingredients"":[""white fish"",""salmon"",""prawns""]},{""name"":""simple (white fish)"",""ingredients"":[""white fish""]}]","[{""name"":""peas"",""ingredients"":[""peas""]},{""name"":""broccoli"",""ingredients"":[""broccoli""]}]",British classics,https://images.unsplash.com/photo-1650917331384-1fd06afa3230?fm=jpg&q=70&w=600&auto=format&fit=crop,"{""kcal"":560,""protein"":35,""carbs"":45,""sugar"":8,""fat"":26,""satFat"":13,""fibre"":5,""salt"":1.8,""basis"":""estimated""}"
Fish Tacos,🌮,yes,white fish;tortilla wraps;lime;peppers;cabbage;soured cream,"[{""name"":""battered"",""ingredients"":[""white fish"",""plain flour"",""sparkling water""]},{""name"":""grilled"",""ingredients"":[""white fish""]}]","[{""name"":""salad"",""ingredients"":[""salad"",""cucumber"",""avocado""]},{""name"":""sweetcorn"",""ingredients"":[""sweetcorn""]}]",Tex-Mex,https://images.unsplash.com/photo-1512838243191-e81e8f66f1fd?fm=jpg&q=70&w=600&auto=format&fit=crop,"{""kcal"":560,""protein"":30,""carbs"":60,""sugar"":7,""fat"":22,""satFat"":7,""fibre"":7,""salt"":1.6,""basis"":""estimated""}"
Quesadillas,🧀,yes,tortilla wraps;cheese,"[{""name"":""chicken"",""ingredients"":[""chicken""]},{""name"":""veg"",""ingredients"":[""mushrooms"",""peppers""]},{""name"":""cheese only"",""ingredients"":[]}]","[{""name"":""salsa"",""ingredients"":[""tinned tomatoes"",""red onion"",""lime""]},{""name"":""soured cream"",""ingredients"":[""soured cream""]},{""name"":""guacamole"",""ingredients"":[""avocado""]}]",Tex-Mex,https://images.unsplash.com/photo-1618040996337-56904b7850b9?fm=jpg&q=70&w=600&auto=format&fit=crop,"{""kcal"":620,""protein"":30,""carbs"":55,""sugar"":5,""fat"":32,""satFat"":16,""fibre"":4,""salt"":2.2,""basis"":""estimated""}"
Soup,🍲,,onion;carrot;stock,"[{""name"":""tomato"",""ingredients"":[""tinned tomatoes"",""cream""]},{""name"":""lentil"",""ingredients"":[""red lentils""]},{""name"":""chicken noodle"",""ingredients"":[""chicken"",""noodles""]}]","[{""name"":""crusty bread"",""ingredients"":[""bread""]},{""name"":""yoghurt flatbreads"",""ingredients"":[""self-raising flour"",""yoghurt""]}]",British classics,https://images.unsplash.com/photo-1476718406336-bb5a9690ee2a?fm=jpg&q=70&w=600&auto=format&fit=crop,"{""kcal"":320,""protein"":12,""carbs"":45,""sugar"":10,""fat"":10,""satFat"":3,""fibre"":7,""salt"":1.8,""basis"":""estimated""}"
Lamb Kofta Wraps,🥙,yes,lamb mince;onion;garlic;cumin;coriander;flatbreads,"[{""name"":""lamb kofta"",""ingredients"":[""lamb mince""]},{""name"":""chicken shawarma"",""ingredients"":[""chicken""]}]","[{""name"":""hummus"",""ingredients"":[""hummus""]},{""name"":""salad"",""ingredients"":[""salad"",""cucumber"",""tomato""]},{""name"":""tzatziki"",""ingredients"":[""yoghurt"",""cucumber"",""garlic""]}]",Greek,https://images.unsplash.com/photo-1771285119318-b342c3ecc51c?fm=jpg&q=70&w=600&auto=format&fit=crop,"{""kcal"":680,""protein"":32,""carbs"":55,""sugar"":8,""fat"":36,""satFat"":14,""fibre"":6,""salt"":1.9,""basis"":""estimated""}"
Greek Chicken,🫒,,chicken;lemon;garlic;oregano;olive oil,"[{""name"":""with orzo"",""ingredients"":[""orzo""]},{""name"":""with rice"",""ingredients"":[""rice""]}]","[{""name"":""Greek salad"",""ingredients"":[""salad"",""cucumber"",""tomato"",""feta"",""olives""]},{""name"":""flatbreads"",""ingredients"":[""flatbreads""]}]",Greek,https://images.unsplash.com/photo-1666819476544-38ea4e57a3d0?fm=jpg&q=70&w=600&auto=format&fit=crop,"{""kcal"":600,""protein"":42,""carbs"":50,""sugar"":7,""fat"":24,""satFat"":7,""fibre"":5,""salt"":1.4,""basis"":""estimated""}"
Egg Fried Rice,🍳,,rice;eggs;spring onion;soy sauce;sesame oil;peas,"[{""name"":""plain veg"",""ingredients"":[]},{""name"":""with chicken"",""ingredients"":[""chicken""]},{""name"":""with prawns"",""ingredients"":[""prawns""]}]","[{""name"":""gyoza"",""ingredients"":[""gyoza""]},{""name"":""spring rolls"",""ingredients"":[""spring rolls""]}]",Chinese,https://images.unsplash.com/photo-1603133872878-684f208fb84b?fm=jpg&q=70&w=600&auto=format&fit=crop,"{""kcal"":520,""protein"":22,""carbs"":70,""sugar"":5,""fat"":17,""satFat"":4,""fibre"":4,""salt"":2,""basis"":""estimated""}"
Frittata,🥚,yes,eggs;cheese;peppers;onion;potatoes,"[{""name"":""classic veg"",""ingredients"":[""peppers"",""onion"",""potatoes""]},{""name"":""with chorizo"",""ingredients"":[""chorizo""]},{""name"":""with ham"",""ingredients"":[""ham""]}]","[{""name"":""salad"",""ingredients"":[""salad"",""cucumber"",""tomato""]},{""name"":""crusty bread"",""ingredients"":[""bread""]}]",Eggs,https://images.unsplash.com/photo-1587900437942-8758241767ef?fm=jpg&q=70&w=600&auto=format&fit=crop,"{""kcal"":420,""protein"":24,""carbs"":20,""sugar"":5,""fat"":27,""satFat"":10,""fibre"":3,""salt"":1.2,""basis"":""estimated""}"
Omurice,🍳,,rice;chicken;onion;ketchup;eggs;butter,[],[],Japanese,,"{""kcal"":620,""protein"":24,""carbs"":75,""sugar"":12,""fat"":25,""satFat"":11,""fibre"":3,""salt"":2.2,""basis"":""estimated""}"
Miso Soup,🥣,yes,dashi;miso paste;tofu;spring onion;onion;potato;carrot,[],"[{""name"":""rice"",""ingredients"":[""rice""]}]",Japanese,,"{""kcal"":180,""protein"":11,""carbs"":18,""sugar"":5,""fat"":7,""satFat"":1,""fibre"":4,""salt"":2.4,""basis"":""estimated""}"
Chicken Rice,🍚,yes,rice;chicken thigh;onion;carrot;ketchup;butter,[],[],Japanese,,"{""kcal"":480,""protein"":24,""carbs"":65,""sugar"":8,""fat"":13,""satFat"":5,""fibre"":3,""salt"":1.6,""basis"":""estimated""}"
Coconut Chicken Curry,🍛,yes,chicken;onion;garlic;curry powder;coconut milk;tinned tomatoes;chicken stock,[],"[{""name"":""rice"",""ingredients"":[""rice""]},{""name"":""naan"",""ingredients"":[""naan""]}]",Indian & curries,,"{""kcal"":620,""protein"":38,""carbs"":50,""sugar"":11,""fat"":28,""satFat"":17,""fibre"":4,""salt"":1.6,""basis"":""estimated""}"
Butter Beans,🫘,yes,butter beans;onion;garlic;tomato puree;smoked paprika;double cream,[],"[{""name"":""crusty bread"",""ingredients"":[""bread""]},{""name"":""rice"",""ingredients"":[""rice""]},{""name"":""salad"",""ingredients"":[""salad""]}]",Mediterranean,,"{""kcal"":520,""protein"":16,""carbs"":50,""sugar"":9,""fat"":28,""satFat"":15,""fibre"":12,""salt"":1.5,""basis"":""estimated""}"
La Scala Chopped Salad,🥗,yes,,[],[],Salads,,"{""kcal"":420,""protein"":14,""carbs"":18,""sugar"":4,""fat"":33,""satFat"":7,""fibre"":6,""salt"":1.6,""basis"":""estimated""}"
Aniston Herby Salad,🥗,yes,,[],[],Salads,,"{""kcal"":540,""protein"":34,""carbs"":28,""sugar"":5,""fat"":33,""satFat"":5,""fibre"":8,""salt"":1.4,""basis"":""estimated""}"
Avocado Egg Salad,🥗,yes,,[],[],Salads,,"{""kcal"":320,""protein"":10,""carbs"":12,""sugar"":3,""fat"":27,""satFat"":6,""fibre"":8,""salt"":1.5,""basis"":""estimated""}"
Broccoli Crunch Salad,🥗,yes,,[],[],Salads,,"{""kcal"":360,""protein"":13,""carbs"":28,""sugar"":14,""fat"":23,""satFat"":3,""fibre"":8,""salt"":0.9,""basis"":""estimated""}"
Crispy Duck Pancakes,🦆,,duck;chinese pancakes;hoisin sauce;cucumber;spring onion,[],[],Chinese,,"{""kcal"":560,""protein"":28,""carbs"":55,""sugar"":14,""fat"":25,""satFat"":7,""fibre"":3,""salt"":2.4,""basis"":""estimated""}"
Dishoom Black Dal,🍛,,black lentils;tomato paste;cream;butter;onion;garlic;ginger,[],"[{""name"":""rice"",""ingredients"":[""rice""]},{""name"":""naan"",""ingredients"":[""naan""]},{""name"":""yoghurt flatbreads"",""ingredients"":[""self-raising flour"",""yoghurt""]}]",Indian & curries,,"{""kcal"":420,""protein"":16,""carbs"":45,""sugar"":8,""fat"":19,""satFat"":11,""fibre"":12,""salt"":1.4,""basis"":""estimated""}"
Spanish Meatball & Butter Bean Stew,🍲,,pork mince;butter beans;tinned tomatoes;red onion;peppers;garlic;smoked paprika,[],"[{""name"": ""crusty bread"", ""ingredients"": [""bread""]}, {""name"": ""rice"", ""ingredients"": [""rice""]}]",Spanish,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Alb%C3%B3ndigas_con_Arroz_%28Susy%29.jpg/960px-Alb%C3%B3ndigas_con_Arroz_%28Susy%29.jpg,"{""kcal"":520,""protein"":32,""carbs"":40,""sugar"":14,""fat"":24,""satFat"":8,""fibre"":11,""salt"":1.8,""basis"":""estimated""}"
Roast Sea Bass Traybake,🐟,,sea bass;potatoes;red pepper;black olives;lemon;rosemary;basil,[],"[{""name"": ""salad"", ""ingredients"": [""salad"", ""cucumber"", ""tomato""]}]",Mediterranean,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/-2021-12-19_Fillet_of_sea_bass%2C_saut%C3%A9ed_new_potatoes%2C_braised_fennel%2C_broccoli%2C_white_wine_and_dill_cream_sauce%2C_Trimingham%2C_Norfolk_%282%29.jpg/960px--2021-12-19_Fillet_of_sea_bass%2C_saut%C3%A9ed_new_potatoes%2C_braised_fennel%2C_broccoli%2C_white_wine_and_dill_cream_sauce%2C_Trimingham%2C_Norfolk_%282%29.jpg,"{""kcal"":480,""protein"":30,""carbs"":35,""sugar"":7,""fat"":24,""satFat"":4,""fibre"":6,""salt"":1.2,""basis"":""estimated""}"
Simple Fish Stew,🐟,,white fish;prawns;fennel seeds;carrots;celery;leeks;tinned tomatoes;fish stock,[],"[{""name"": ""crusty bread"", ""ingredients"": [""bread""]}]",Mediterranean,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Couscous_with_fish_stew_and_vegetables.jpg/960px-Couscous_with_fish_stew_and_vegetables.jpg,"{""kcal"":320,""protein"":32,""carbs"":22,""sugar"":12,""fat"":11,""satFat"":2,""fibre"":7,""salt"":2.2,""basis"":""estimated""}"
